"","seed","alpha","deg","n","d","method","time","sig_diff","TPR","FPR","SHM"
"1",1234,0.05,3,200,729,0,3.64200000002165,0,0.488537549407115,0.00217474951714148,1728
"2",1235,0.05,3,200,729,0,3.61500000001979,0,0.485981308411215,0.00222342078662704,1721
"3",1236,0.05,3,200,729,0,4.00099999998929,0,0.472315436241611,0.00227440315776173,1763
"4",1237,0.05,3,200,729,0,3.57300000000396,0,0.493670886075949,0.00214833913957037,1716
"5",1238,0.05,3,200,729,0,3.75399999998626,0,0.465955701394586,0.00218587685912693,1731
"6",1239,0.05,3,200,729,0,3.90399999998044,0,0.482100238663485,0.00224638993255172,1784
"7",1240,0.05,3,200,729,0,3.63500000000931,0,0.475450081833061,0.00219154726631826,1738
"8",1241,0.05,3,200,729,0,3.57000000000698,0,0.482213438735178,0.00223887916465476,1768
"9",1242,0.05,3,200,729,0,3.69399999998859,0,0.500821018062397,0.00222359271476341,1736
"10",1243,0.05,3,200,729,0,4.00699999998324,0,0.5,0.00213131543657073,1695
"11",1244,0.05,3,200,729,0,3.62299999999232,0,0.479608482871126,0.00224437256584593,1760
"12",1245,0.05,3,200,729,0,3.52899999998044,0,0.469814241486068,0.00223710692654329,1796
"13",1246,0.05,3,200,729,0,3.41800000000512,0,0.48755832037325,0.00214465580820703,1724
"14",1247,0.05,3,200,729,0,3.55299999998533,0,0.482534524776604,0.00217838215046868,1719
"15",1248,0.05,3,200,729,0,3.70000000001164,0,0.484399375975039,0.00212766358771614,1723
"16",1249,0.05,3,200,729,0,3.71499999999651,0,0.511646586345382,0.00216523700669186,1697
"17",1250,0.05,3,200,729,0,3.82999999998719,0,0.494787489975942,0.00225011976748134,1775
"18",1251,0.05,3,200,729,0,3.36900000000605,0,0.497995188452285,0.00215770076613466,1703
"19",1252,0.05,3,200,729,0,3.40599999998813,0,0.494514767932489,0.00220459551612806,1709
"20",1253,0.05,3,200,729,0,3.37200000000303,0,0.481452249408051,0.00217664389426867,1741
"21",1254,0.05,3,200,729,0,3.83699999999953,0,0.507630522088353,0.00216900919659899,1711
"22",1255,0.05,3,200,729,0,3.5229999999865,0,0.512417218543046,0.00213679646495031,1664
"23",1256,0.05,3,200,729,0,3.65100000001257,0,0.476484194294526,0.00219940242651053,1788
"24",1257,0.05,3,200,729,0,3.37899999998626,0,0.488046166529266,0.00216887829386604,1710
"25",1258,0.05,3,200,729,0,3.42799999998533,0,0.476043276661515,0.00215411951779412,1757
"26",1259,0.05,3,200,729,0,3.87299999999232,0,0.473005640612409,0.00226141078838174,1783
"27",1260,0.05,3,200,729,0,3.48099999999977,0,0.477071600965406,0.00218220362958744,1743
"28",1261,0.05,3,200,729,0,3.40700000000652,0,0.470588235294118,0.00222194557930912,1779
"29",1262,0.05,3,200,729,0,3.6480000000156,0,0.488262910798122,0.00221629951543205,1758
"30",1263,0.05,3,200,729,0,3.53700000001118,0,0.501610305958132,0.00218974385089372,1719
"31",1264,0.05,3,200,729,0,3.60500000001048,0,0.461724415793715,0.00222368917389664,1775
"32",1265,0.05,3,200,729,0,3.60699999998906,0,0.483895705521472,0.00211832035869973,1728
"33",1266,0.05,3,200,729,0,3.67300000000978,0,0.48340874811463,0.00210708997104402,1730
"34",1267,0.05,3,200,729,0,3.62299999999232,0,0.483127572016461,0.00226129989853383,1759
"35",1268,0.05,3,200,729,0,3.45199999999022,0,0.490848585690516,0.00221786779169393,1727
"36",1269,0.05,3,200,729,0,3.44899999999325,0,0.493817619783617,0.00212016667075358,1719
"37",1270,0.05,3,200,729,0,3.55600000001141,0,0.475580464371497,0.00223315327277665,1764
